fen3,id,rating,initialFen,tcnMoveList,colorOfUser,pgn,passRate,averageSeconds,gameLiveId,gameId
2r3k1/p4ppp/3p4/8/1P1qpP2/P6P/3B2P1/3Q1RK1 w -,1322993,3554,2r3k1/p4ppp/3p4/8/1P1qpP2/P6P/3B2P1/3Q1RK1 w - - 1 23,fnCunm6cdculgpBDowDnmnl{,black,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[SetUp ""1""]
[FEN ""2r3k1/p4ppp/3p4/8/1P1qpP2/P6P/3B2P1/3Q1RK1 w - - 1 23""]
[Puzzle_Length ""6""]
[Tactic_line ""e3 Re2 Rc1 Qxc1 exd2+ Kh2 Qxf4+ g3 Qf2+ Rxf2 dxc1=Q""]

23. Rf2 e3 ({+3.75} 23... Re8 24. Qa4 Kf8 25. Be1 d5 26. Qd7 Qe3 27. Bd2 Qb6 28.
b5 ±) 24. Re2 Rc1 ({-0.61} 24... exd2+ 25. Kh2 Qxf4+ 26. g3 Qf6 27. Qxd2 h5 28.
h4 Qg6 29. b5 =) ({+2.38} 24... Re8 25. Kh2 g5 26. Qa4 Re6 27. Bc1 Qd3 28. f5
Re5 29. Re1 ±) 25. Qxc1 exd2+ ({+12.82} 25... h6 26. Bxe3 Qf6 27. Bxa7 Kh7 28.
Qe3 Qf5 29. Rd2 d5 30. Qe5 +−) ({+13.35} 25... h5 26. Bxe3 Qf6 27. Bxa7 Kh7 28.
Qe3 Qf5 29. Rd2 Qg6 30. Rd5 +−) 26. Kh2 Qxf4+ ({+9.48} 26... g6 27. Qxd2 Qxd2
28. Rxd2 f6 29. Rxd6 Kf7 30. Rd7+ Ke6 31. Rxh7 +−) ({+9.65} 26... g5 27. Qxd2
Qxf4+ 28. Qxf4 gxf4 29. Re7 Kf8 30. Rxa7 Ke8 31. b5 +−) 27. g3 Qf2+ ({+14.42}
27... g5 28. Qa1 Qe5 29. Rxe5 dxe5 30. Qd1 Kg7 31. Qxd2 Kg6 32. Qd6+ +−)
({+14.53} 27... g6 28. Qb2 Qf2+ 29. Rxf2 d1=Q 30. Rc2 Qxc2+ 31. Qxc2 Kg7 32. Qc7
+−) 28. Rxf2 dxc1=Q ({-0.13} 28... dxc1=R 29. Rd2 Kf8 30. Rxd6 Rc2+ 31. Kh1 Rc3
32. Ra6 Rxg3 33. h4 =) ({+8.95} 28... dxc1=N 29. Rc2 Kf8 30. Rxc1 d5 31. Rc7 d4
32. Rxa7 Ke8 33. b5 +−) *",27.3,85,12572304173,
1r1r2k1/5pp1/p1R1p3/2B3qp/3PP3/4p1P1/PnQ4P/4R1K1 w -,1082248,2080,1r1r2k1/5pp1/p1R1p3/2B3qp/3PP3/4p1P1/PnQ4P/4R1K1 w - h6 0 28,IP5PQPMGemGP,black,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""1r1r2k1/5pp1/p1R1p3/2B3qp/3PP3/4p1P1/PnQ4P/4R1K1 w - h6 0 28""]
[FirstMove ""28w""]
[Puzzle_Length ""3""]
[SetUp ""1""]

28. Bb6 Rxb6 29. Rxb6 Qa5 30. Re2 Qxb6
*

",25.5,175,,
7r/2k5/4P3/4P1P1/2p5/2P2QP1/1q6/4R1K1 w -,767450,1910,7r/2k5/4P3/4P1P1/2p5/2P2QP1/1q6/4R1K1 w - -,vojPon?hghPn,black,"[Event ""21st World Seniors""]
[Site ""Rijeka CRO""]
[Date ""2011.11.17""]
[Round ""3.26""]
[White ""Malmdin,N""]
[Black ""Ciuro Munoz,R""]
[PUZZLE_TYPE ""material""]
[MOVES ""3""]
[FULL ""43. Qg2 Qb6+ 44. Qf2 Rh1+ 45. Kxh1 Qxf2""]
[START_SCORE ""-8.40""]
[START_SCORE_DIFFERENCE ""-21.07""]
[FEN ""7r/2k5/4P3/4P1P1/2p5/2P2QP1/1q6/4R1K1 w - -""]
[SetUp ""1""]

 43.     Qg2
			({24:-7.58} 43. Qg2 Qb6+ 44. Qf2 Rh1+ 45. Kxh1 Qxf2 46. Ra1 Qxg3 47. g6 Qxg6 48. Ra7+ Kc6 49. Ra8 Qg5 50. e7 Qxe7 51. Ra6+ Kb5 52. Rf6 Qxe5 53. Rf3 Qe2 54. Rg3 Kc6 55. Kg1 Kd6 56. Kh1 Kd7 57. Kg1 Ke7 58. Kh1 Ke6  $19)
			({24:16.86} 43. Rd1 Qb6+ 44. Kf1 Qxe6 45. Rd6 Qh3+ 46. Kf2 Qh2+ 47. Ke3 Qg1+ 48. Kf4 Qh1 49. Qxh1 Rxh1 50. g6 Rh8 51. Kf5 Rf8+ 52. Kg5 Rg8 53. Kf6 Rf8+ 54. Ke7 Rf5 55. Ke6 Rg5 56. Kf6 Rxg3 57. g7 Rg2 58. Kf7 Rf2+ 59. Rf6 Ra2 60. g8=Q Kb7 61. Qh7 Kc8 62. Rd6 Kb8 63. Qb1+ Kc7 64. Qxa2  $18)
			({24:7.89} 43. e7 Qh2+ 44. Kf1 Qd2 45. e8=N+ Rxe8 46. Qf7+ Qd7 47. e6 Re7 48. Qf4+ Qd6 49. Qxc4+ Qc6 50. Qf4+ Kc8 51. Re4 Kb7 52. Qe5 Qa6+ 53. Kf2 Qb6+ 54. Kf3 Qc6 55. Kg4 Ka6 56. Re2 Qc4+ 57. Kf5 Re8 58. Qd6+ Ka7 59. Re4 Rf8+ 60. Qxf8 Qf1+ 61. Rf4 Qd3+ 62. Kg4 Qxc3 63. Qe7+ Kb6  $18)
			({24:6.11} 43. Kf1 Qc2 44. e7 Qd3+ 45. Kg2 Qxf3+ 46. Kxf3 Kd7 47. Rd1+ Kxe7 48. g6 Ke6 49. Ke4 Rf8 50. Rd6+ Ke7 51. Rc6 Rh8 52. Rf6 Rh3 53. Kf4 Rh8 54. Rd6 Rf8+ 55. Kg5 Rf3 56. g4 Rf8 57. Rf6 Rd8 58. Kf5 Rd3 59. Rf7+ Ke8 60. e6 Rf3+ 61. Ke5 Rxf7 62. gxf7+ Kf8  $18)
 43.     ...    Qb6+
			({24:-8.1} 43. ... Qb6+ 44. Qf2 Rh1+ 45. Kxh1 Qxf2 46. Ra1 Qxg3 47. g6 Qxg6 48. Ra7+ Kc6 49. Ra8 Qg5 50. e7 Qxe7 51. Ra6+ Kb5 52. Rf6 Qxe5 53. Rf3 Qe2 54. Rg3 Kc6 55. Kg1 Kd6 56. Rg6+ Ke5 57. Rg5+ Kf4 58. Rg8 Qe1+ 59. Kh2 Qxc3 60. Rg1  $19)
			({24:5.52} 43. ... Qxg2+ 44. Kxg2 Kd8 45. Rd1+ Ke7 46. Kf3 Kxe6 47. Ke4 Rh2 48. Rd6+ Kf7 49. Rf6+ Kg7 50. e6 Re2+ 51. Kd4 Rc2 52. Kxc4 Rc1 53. Kd3 Rd1+ 54. Ke4 Rc1 55. Kf5 Re1 56. Rf7+ Kg8 57. g6 Re3 58. e7  $18)
			({24:6.11} 43. ... Qb5 44. Rf1 Qc5+ 45. Qf2 Qd5 46. Qf3 Qxe6 47. Qe4 Qb6+ 48. Kg2 Qe6 49. Rf6 Qh3+ 50. Kf2 Qh2+ 51. Kf3 Qh1+ 52. Kf4 Qf1+ 53. Qf3 Qxf3+ 54. Kxf3 Kd7 55. g6 Ke7 56. Ke4 Rh3 57. Kf4 Rh8 58. Rd6 Rf8+ 59. Ke4 Ra8 60. Rd1 Rg8 61. Rd6 Rf8  $18)
 44.     Qf2
			({24:-8.4} 44. Qf2 Rh1+ 45. Kxh1 Qxf2 46. Rb1 Qxg3 47. e7 Kd7 48. e8=R Kxe8 49. Rb8+ Kd7 50. e6+ Ke7 51. Rb7+ Kxe6 52. Rb6+ Kf5 53. Rb5+ Ke4 54. Rb2 Qxg5 55. Rg2 Qh6+ 56. Kg1 Qe3+ 57. Kf1 Qxc3 58. Rg4+ Kd5  $19)
			({24:-Mat28} 44. Re3 Qxe3+ 45. Qf2 Qc1+ 46. Qf1 Rh1+ 47. Kxh1 Qxf1+ 48. Kh2 Qe2+ 49. Kg1 Qxe5 50. Kf2 Qxe6 51. g4 Qxg4 52. Ke3 Qxg5+ 53. Kd4 Qb5 54. Ke4 Qb1+ 55. Kf4 Qd3 56. Kg4 Qxc3 57. Kf4 Qd4+ 58. Kf3 c3 59. Kg3 Qg7+ 60. Kh3  $19)
			({24:-Mat05} 44. Kf1 Rf8+ 45. Qf3 Rxf3+ 46. Kg2 Qf2+ 47. Kh1 Rxg3 48. e7 Qg2#  $19)
 44.     ...    Rh1+
			({24:-9.68} 44. ... Rh1+ 45. Kxh1 Qxf2 46. Rc1 Qxg3 47. Rc2 Qxg5 48. Rf2 Qxe5 49. Rf3 Qe2 50. Rg3 Kd6 51. e7 Kxe7 52. Kg1 Kd6 53. Rh3 Ke6 54. Rg3 Ke7 55. Rg7+ Kd6 56. Rg6+ Ke5 57. Rg7 Qe1+ 58. Kg2 Qxc3  $19)
			({24:2.66} 44. ... Qc6 45. Qf7+ Kc8 46. Qd7+ Qxd7 47. exd7+ Kxd7 48. Kg2 Rg8 49. Kf3 Rxg5 50. Kf4 Rh5 51. g4 Rh2 52. g5 Ke6 53. Rg1 Rf2+ 54. Ke3 Rf5 55. g6 Rxe5+ 56. Kd4 Rd5+ 57. Kxc4 Rd8 58. g7 Rg8 59. Kd4 Rd8+ 60. Ke4  $18)
			({24:6.31} 44. ... Qxf2+ 45. Kxf2 Kd8 46. Rd1+ Ke7 47. Kf3 Kxe6 48. Ke4 Rh3 49. Rd6+ Kf7 50. Rf6+ Ke8 51. Kf4 Rh8 52. Kf5 Rh3 53. Kg4 Rh8 54. Rh6 Rg8 55. Kf5 Rg7 56. Rf6 Rh7 57. g6 Rh5+ 58. Ke4 Rh3 59. Kf4 Rh8 60. g7  $18)
 45.    Kxh1
			({24:-9.97} 45. Kxh1 Qxf2 46. Rg1 Qf3+ 47. Kh2 Qxc3 48. Rf1 Qxe5 49. g6 Kd6 50. e7 Kxe7 51. Rf7+ Kd6 52. Ra7 Qh5+ 53. Kg2 Qe2+ 54. Kh3 c3 55. g7 Qh5+ 56. Kg2 Qd5+ 57. Kg1 c2 58. Ra6+ Kc7 59. Ra1 Qd4+ 60. Kh2 Qxa1 61. g8=Q c1=Q 62. Qf7+ Kb6 63. Qe6+ Kb5 64. Qd5+ Qc5 65. Qb3+ Kc6 66. Qf3+ Kb6 67. Qf4  $19)
			({24:-Mat18} 45. Kg2 Rh2+ 46. Kxh2 Qxf2+ 47. Kh3 Qxe1 48. Kg4 Qxe5 49. Kf3 Qxe6 50. Kg2 Qe2+ 51. Kh3 Qf3 52. g6 Qxc3 53. Kg4 Qe5 54. g7 Qxg7+ 55. Kf4 c3 56. Ke3 Qxg3+ 57. Ke2 Qg2+ 58. Kd3 c2 59. Kd4 c1=Q 60. Ke5  $19)
 45.     ...    Qxf2
			({24:-10.27} 45. ... Qxf2 46. Rg1 Qf3+ 47. Kh2 Qxc3 48. Rf1 Qxe5 49. g6 Kd6 50. e7 Kxe7 51. Rf7+ Kd6 52. Ra7 c3 53. g7 Qh5+ 54. Kg2 Qd5+ 55. Kh3 c2 56. Ra6+ Ke5 57. Ra5 Qxa5 58. g8=Q c1=Q 59. Qg7+ Kf5 60. Qh7+ Kf6 61. Qh8+ Ke6 62. Qe8+ Kd6 63. Qf8+ Kc7  $19)
			({24:Mat11} 45. ... Qc6+ 46. Kg1 Qxe6 47. Qc5+ Kd8 48. Qd6+ Qd7 49. g6 Ke8 50. Qxd7+ Kxd7 51. g7 Kc6 52. g8=Q Kc7 53. Qxc4+ Kd8 54. Qf7 Kc8 55. Rb1 Kd8 56. Rb8#  $18)
			({24:Mat10} 45. ... Qb7+ 46. Kg1 Qb5 47. Rd1 Kc8 48. Qf8+ Kc7 49. Qd8+ Kb7 50. Rd7+ Qxd7 51. Qxd7+ Kb6 52. e7 Kc5 53. e8=Q Kb6 54. Qb8+ Kc5 55. Qbd6#  $18)
*

",47.3,50,,
r1b1kbnr/pp2qpp1/3p3p/1N1Qp3/2B1P3/8/PPP2PPP/R1B1K2R b KQkq,2264786,2982,r1b1kbnr/pp2qpp1/3p3p/1N1Qp3/2B1P3/8/PPP2PPP/R1B1K2R b KQkq - 3 9,WOHR0RJ187cl,white,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[SetUp ""1""]
[FEN ""r1b1kbnr/pp2qpp1/3p3p/1N1Qp3/2B1P3/8/PPP2PPP/R1B1K2R b KQkq - 3 9""]
[Puzzle_Length ""3""]
[Tactic_line ""Nxd6+ Qxd6 Qxf7+ Kd8 Bd2""]

9... a6 10. Nxd6+ ({+0.70} 10. Nc3 Be6 11. Qd3 Nf6 12. Be3 Rc8 13. Bxe6 fxe6 14.
O-O-O b5 =) 10... Qxd6 11. Qxf7+ ({-3.34} 11. Be3 Qxd5 12. Bxd5 Nf6 13. c4 Be7
14. O-O Nxd5 15. exd5 f5 ∓) ({-3.53} 11. Qxd6 Bxd6 12. Be3 Ke7 13. c3 Be6 14.
Bxe6 Kxe6 15. Ke2 Nf6 ∓) 11... Kd8 12. Bd2 ({+1.73} 12. Bf4 Bd7 13. Bxe5 Qe7 14.
Qf4 Rc8 15. Bb3 Rc6 16. O-O-O Qg5 ±) ({+0.89} 12. Be3 Bd7 13. f4 Qe7 14. Bb6+
Kc8 15. fxe5 Qxf7 16. Bxf7 Bb4+ ⩲) *",3.5,106,75286238339,
5bk1/4rpp1/8/3QP1N1/1p2BP2/6KP/1Pq5/8 b -,981126,2570,5bk1/4rpp1/8/3QP1N1/1p2BP2/6KP/1Pq5/8 b - -,kYC3!?J40848,white,"[Event ""TCh-ISR 2019""]
[Site ""Israel ISR""]
[Date ""2019.02.15""]
[Round ""5.1""]
[White ""Kudischewitsch,D""]
[Black ""Oratovsky,M""]
[PUZZLE_TYPE ""material""]
[MOVES ""3""]
[FULL ""31. ... Qc7 32. Bh7+ Kh8 33. Qa8 Re8 34. Qxe8""]
[START_SCORE ""5.13""]
[START_SCORE_DIFFERENCE ""5.13""]
[FEN ""5bk1/4rpp1/8/3QP1N1/1p2BP2/6KP/1Pq5/8 b - -""]
[SetUp ""1""]

 31.     ...     Qc7
			({24:6.24} 31. ... Qc7 32. Bh7+ Kh8 33. Qa8 Re8 34. Qxe8 Qe7 35. Qc6 Qc5 36. Nxf7+ Kxh7 37. Ng5+ Kh8 38. Qe4 Qg1+ 39. Kh4 g6 40. Qxg6 Qe1+ 41. Kg4 Qd1+ 42. Kf5 Qd3+ 43. Kf6 Qd8+ 44. Ke6 Qe7+ 45. Kf5 Qd7+ 46. Ne6 b3 47. Qf6+ Bg7 48. Qxg7+ Qxg7 49. Nxg7 Kxg7 50. Ke6 Kg6 51. f5+ Kg5 52. f6 Kg6 53. Ke7 Kf5  $18)
			({24:0} 31. ... Qe2 32. Bh7+ Kh8 33. Qd8 Qe1+ 34. Kg4 Qg1+ 35. Kf3 Qf1+ 36. Kg3 Qg1+ 37. Kf3  $10)
			({24:0} 31. ... Qc1 32. Bh7+ Kh8 33. Qd8 Qg1+ 34. Kf3 Qf1+ 35. Kg3 Qg1+  $10)
			({24:0.08} 31. ... Qa4 32. Qd3 g6 33. Bd5 Kg7 34. f5 Rxe5 35. f6+ Kxf6 36. Qd4 Qe8 37. Nxf7 Bc5 38. Qxc5 Rxd5 39. Qxd5 Qe3+ 40. Kg4 Qg1+ 41. Kf4 Qf2+ 42. Ke4 Qxb2 43. Qe5+ Qxe5+ 44. Nxe5 b3 45. Nc4 Kg5 46. Kf3 Kh4 47. Kg2 g5 48. Kh2 b2 49. Nxb2 g4 50. Nc4 gxh3  $10)
 32.    Bh7+
			({24:7.15} 32. Bh7+ Kh8 33. Qa8 Re8 34. Qxe8 Qe7 35. Qc6 Qc5 36. Nxf7+ Kxh7 37. Ng5+ Kh8 38. Qe4 Qg1+ 39. Kh4 g6 40. Qxg6 Qe1+ 41. Kg4 Qe2+ 42. Kf5 Qd3+ 43. Kf6 Qd8+ 44. Ke6 Qe7+ 45. Kf5 Qd7+ 46. Ne6 Bc5 47. Kg5 Qe7+ 48. Kh5 Be3 49. Ng5 Qg7 50. f5 Bxg5 51. Qxg7+ Kxg7 52. Kxg5 Kf7 53. e6+ Ke7 54. h4 Kd6 55. Kf6  $18)
			({24:0.64} 32. e6 g6 33. exf7+ Rxf7 34. Nxf7 Qxf7 35. Qd4 Kh7 36. h4 Bh6 37. Qe3 Kh8 38. b3 Qf6 39. Bd3 Bf8 40. Qe5 Kg7 41. Kg4 Be7 42. h5 gxh5+ 43. Kxh5 Kf8 44. Be2 Qf7+ 45. Kh6 Qf6+ 46. Qxf6+ Bxf6 47. Kg6 Bb2 48. Bd3 Bd4 49. Kg5 Kf7  $14)
			({24:0} 32. Bf5 Qb6 33. Bh7+ Kh8 34. Qa8 Qg1+ 35. Kh4 Qf2+ 36. Kg4 Qg1+ 37. Kh4  $10)
 32.     ...     Kh8
 33.     Qa8
			({24:7.41} 33. Qa8 Re8 34. Qxe8 Qe7 35. Qc6 Qc5 36. Nxf7+ Kxh7 37. Ng5+ Kh8 38. Qe4 Qg1+ 39. Kh4 g6 40. Qxg6 Qe1+ 41. Kg4 Qd1+ 42. Kf5 Qd3+ 43. Kf6 Qd8+ 44. Ke6 Qe7+ 45. Kf5 Qd7+ 46. Ne6 Bc5 47. Kg5 Qe7+ 48. Kh5 Be3 49. Ng5  $18)
			({24:0} 33. Nxf7+ Rxf7 34. Bg6 Kg8 35. f5 Qd7 36. Qc4 Qa7 37. h4 Qg1+ 38. Kh3 Qh1+ 39. Kg3 Qg1+  $10)
			({24:0} 33. e6 g6 34. Qd4+ Bg7 35. Qd5 Bf8  $10)
 33.     ...     Re8
			({24:7.8} 33. ... Re8 34. Qxe8 Qe7 35. Qc6 Qc5 36. Nxf7+ Kxh7 37. Ng5+ Kh8 38. Qe4 Qg1+ 39. Kh4 g6 40. Qxg6 Qe1+ 41. Kg4 Qd1+ 42. Kf5 Qd3+ 43. Kf6 Qd8+ 44. Ke6 Qe7+ 45. Kf5 Qd7+ 46. Ne6 Bc5 47. Kg5 Bf2 48. Kh6 Qe7 49. Ng5 Qf8+ 50. Kh5 Qg7 51. f5 Qxg6+ 52. Kxg6  $18)
			({24:Mat03} 33. ... Qd8 34. Qxd8 Re8 35. Qxe8 b3 36. Qxf8#  $18)
			({24:Mat03} 33. ... Qc3+ 34. bxc3 Re8 35. Qxe8 bxc3 36. Qxf8#  $18)
 34.    Qxe8
			({24:8.24} 34. Qxe8 Qe7 35. Qc6 Qc5 36. Nxf7+ Kxh7 37. Ng5+ Kh8 38. Qe4 Qg1+ 39. Kh4 g6 40. Qxg6 Qe1+ 41. Kg4 Qd1+ 42. Kf5 Qd3+ 43. Kf6 Qd8+ 44. Ke6 Qe7+ 45. Kf5 Qd7+ 46. Qe6 Qg7 47. Qe8 Kg8 48. Kg4 Qe7 49. Qc6 Qg7 50. Qd5+ Kh8 51. f5 Qg8 52. Qc6 Qg7 53. Qe8 Qe7 54. Qh5+ Kg8 55. Qg6+ Qg7 56. Kh5  $18)
			({24:0} 34. Qe4 Qa7 35. Qf5 g6 36. Nxf7+ Kxh7 37. Ng5+ Kh6 38. Nf7+ Kh7  $10)
			({24:-0.85} 34. Qa4 Rxe5 35. fxe5 Qxe5+ 36. Kg4 Qe2+ 37. Kg3 Qe3+ 38. Kg4 f6 39. Qb5 fxg5 40. Qf5 Bd6 41. Qe4 Qg3+ 42. Kh5 Qxh3+ 43. Kxg5 Qg3+ 44. Kh5 Bf4 45. Qf5 Bg5 46. Qxg5 Qh3+ 47. Qh4 Qxh4+ 48. Kxh4 Kxh7 49. Kg5 g6 50. Kg4 Kg7 51. Kg5 b3 52. Kh4 Kf6 53. Kh3 Kf5 54. Kg3 Kg5 55. Kf3  $17)
*

",18.6,151,,
6k1/2p1rpp1/2p3qp/p2n4/2Q5/PP3N1P/2PR1PP1/6K1 w -,522016,2030,6k1/2p1rpp1/2p3qp/p2n4/2Q5/PP3N1P/2PR1PP1/6K1 w - -,lmJDAD0m,black,"[Event ""Let's Play!""]
[Site ""Chess.com""]
[Date ""2014.02.13""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[FEN ""6k1/2p1rpp1/2p3qp/p2n4/2Q5/PP3N1P/2PR1PP1/6K1 w - -""]
[FirstMove ""27w""]
[FULL ""27. Re2 Nf4 28. Qxf4 Rxe2""]
[MOVES ""2""]
[PlyCount ""4""]
[PUZZLE_TYPE ""material""]
[SetUp ""1""]
[START_SCORE ""-3.39""]
[START_SCORE_DIFFERENCE ""-4.17""]

 27.     Re2
			({24:-2.93} 27. Re2 Nf4 28. Qxf4 Rxe2 29. Ne5 Qe6 30. Ng4 Rxc2  $19)
			({24:0.84} 27. Qa4 Re6 28. Kh2 Rf6 29. Qg4 Qxg4 30. hxg4 Rd6  $16)
			({24:0.8} 27. Qd3 Qf6 28. Qd4 Qg6 29. Qa4 Re6 30. Kh2 Rf6  $16)
			({24:0.74} 27. g3 Qh5 28. Rd3 Re6 29. Nd4 Rf6 30. Kg2 Qg5  $16)
			({24:0.68} 27. Rd4 Re8 28. Qd3 Qxd3 29. Rxd3 a4 30. g3 axb3  $14)
 27.     ...     Nf4
			({24:-3} 27. ... Nf4 28. Qxf4 Rxe2 29. Ne5 Qe6 30. Ng4 Rxc2 31. Qxc7  $19)
			({24:0} 27. ... Rxe2 28. Qxe2 Nf4 29. Qe8+ Kh7 30. Nh4 Qxc2 31. Qxf7  $10)
			({24:0.54} 27. ... Nb6 28. Qa6 Rxe2 29. Qxe2 a4 30. bxa4 Nxa4 31. Nh4  $14)
			({24:0.55} 27. ... Qd6 28. Rxe7 Nxe7 29. a4 Qd1+ 30. Kh2 Qd6+ 31. g3  $14)
 28.    Qxf4
			({24:-3.32} 28. Qxf4 Rxe2 29. Ne5 Qe6 30. Ng4 Rxc2 31. Qxc7 Rb2  $19)
			({24:-7.5} 28. g3 Nxe2+ 29. Kf1 Qf5 30. Kg2 Qd5 31. Qxd5 cxd5  $19)
			({24:-8.75} 28. g4 Nxe2+ 29. Kf1 Qd6 30. Qd3 Qxa3 31. Qd1 Nf4  $19)
			({24:-8.86} 28. Ne1 Rxe2 29. Kf1 Qf6 30. Qxe2 Nxe2 31. Kxe2 Qe7+  $19)
 28.     ...    Rxe2
			({24:-3.4} 28. ... Rxe2 29. Ne5 Qe6 30. Ng4 Rxc2 31. Qxc7 Rc3 32. Ne3  $19)
			({24:6.83} 28. ... Re6 29. Rxe6 Qxe6 30. Qxc7 Qd5 31. Ne5 Kh7 32. Nd3  $18)
			({24:8.37} 28. ... Kf8 29. Rxe7 Kxe7 30. Qxc7+ Ke8 31. Ne5 Qe6 32. a4  $18)
			({24:12.76} 28. ... Qxg2+ 29. Kxg2 Rxe2 30. Qxc7 Re6 31. Qxa5 Rd6 32. Qc7  $18)
 *
",26.6,36,,85005620
r3rk2/p1p2ppQ/2p4p/4q2N/1PP4n/P6P/3B1P2/1B1R1bK1 w -,1879918,2300,r3rk2/p1p2ppQ/2p4p/4q2N/1PP4n/P6P/3B1P2/1B1R1bK1 w - - 0 29,deFvgfvlfoKM,black,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""*""]
[SetUp ""1""]
[FEN ""r3rk2/p1p2ppQ/2p4p/4q2N/1PP4n/P6P/3B1P2/1B1R1bK1 w - - 0 29""]
[Puzzle_Length ""3""]
[Tactic_line ""Nf3+ Kxf1 Nxd2+ Kg2 Qg5+""]

29. Re1 Nf3+ ({-2.04} 29... Be2 30. Rxe2 Qxe2 31. Qxg7+ Ke7 32. Qf6+ Kd7 33.
Qxh4 Qxd2 34. Bf5+ ∓) 30. Kxf1 Nxd2+ ({-0.96} 30... Nxe1 31. Be3 Qxh5 32. Bc5+
Qxc5 33. bxc5 Nf3 34. Qh8+ Ke7 35. Qh7 ⩱) ({+7.48} 30... Qxe1+ 31. Bxe1 Rxe1+
32. Kg2 Nh4+ 33. Kh2 Ke7 34. Nxg7 Nf3+ 35. Kg2 +−) 31. Kg2 Qg5+ ({-1.62} 31...
Qxe1 32. Qxg7+ Ke7 33. Qf6+ Kd7 34. Bf5+ Re6 35. Qxf7+ Kc8 36. Bxe6+ ∓)
({+11.32} 31... Nxc4 32. Rxe5 Rxe5 33. Qxg7+ Ke8 34. Qh8+ Ke7 35. Qf6+ Ke8 36.
Qxc6+ +−) *",50.5,137,46943994843,
4r1k1/5ppp/p2Pq3/1pQ5/5B2/2N5/PPP2PPP/R5K1 w -,2300180,350,4r1k1/5ppp/p2Pq3/1pQ5/5B2/2N5/PPP2PPP/R5K1 w - - 0 20,adSede8e,black,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""0-1""]
[SetUp ""1""]
[FEN ""4r1k1/5ppp/p2Pq3/1pQ5/5B2/2N5/PPP2PPP/R5K1 w - - 0 20""]
[Puzzle_Length ""2""]
[Tactic_line ""Qe1+ Rxe1 Rxe1#""]

20. Rd1 Qe1+ ({+12.51} 20... b4 21. Be3 bxc3 22. d7 cxb2 23. dxe8=Q+ Qxe8 24.
Qd5 Qf8 25. Qd8 +−) 21. Rxe1 Rxe1# ({♔ Mate in 5} 21... Rf8 22. d7 h6 23. Qxf8+
Kh7 24. Qxf7 b4 25. d8=Q bxc3 26. Qdg8# +−) ({♔ Mate in 5} 21... Rd8 22. d7 h6
23. Re8+ Rxe8 24. dxe8=Q+ Kh7 25. Qf5+ g6 26. Qfxf7# +−) 0-1",89.4,9,76912825637,
2r3k1/5p1p/6p1/4Q1PP/2q1P1K1/8/8/8 b -,1011322,1130,2r3k1/5p1p/6p1/4Q1PP/2q1P1K1/8/8/8 b - - 0 53,6IK8!2NV,white,"[Event ""?""]
[Site ""?""]
[Date ""????.??.??""]
[Round ""?""]
[White ""?""]
[Black ""?""]
[Result ""1-0""]
[FEN ""2r3k1/5p1p/6p1/4Q1PP/2q1P1K1/8/8/8 b - - 0 53""]
[FirstMove ""53b""]
[SetUp ""1""]
[AnalysisVersion ""v5.9.5-dccfb02b9""]

 53.     ...     Rc5
			({24:Mat02} 53. ... Rc5 54. Qe8+ Kg7 55. h6#)
			({24:-Mat34} 53. ... Qe2+ 54. Kh4 Qxh5+ 55. Kg3 h6 56. Qb2 Qxg5+ 57. Kf3 h5 58. e5 Qf5+ 59. Ke3 Re8 60. Qh2 Rxe5+ 61. Kd2 Rd5+ 62. Kc1 Qe5 63. Qh3 Qf4+ 64. Kc2 Qc4+ 65. Qc3 Qxc3+ 66. Kxc3 Re5 67. Kd4 Re8 68. Kd5 h4 69. Kc6 h3 70. Kd7 Re6 71. Kc7 h2 72. Kb8 Re8+ 73. Kc7)
 54.    Qe8+
			({24:Mat02} 54. Qe8+ Kg7 55. h6#)
 54.     ...     Kg7
 55.     h6#
			({24:Mat01} 55. h6#)
1-0

",67.1,22,,
